Last Traded Time,Company Name,Symbol,Last Traded Price(Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
11:12 AM,LION BREWERY CEYLON PLC,LION.N0000,599.00,2.00,2.00,1220.00,0.00,0.00
11:21 AM,SMB LEASING PLC,SEMB.N0000,0.40,4.00,4533.00,1863.20,-0.10,-20.00
11:23 AM,PRINTCARE  PLC,CARE.N0000,26.00,1.00,200.00,5200.00,0.00,0.00
11:25 AM,PEOPLE`S MERCHANT FINANCE PLC,PMB.N0000,8.20,1.00,15.00,124.50,0.00,0.00
11:28 AM,KELSEY DEVELOPMENTS PLC,KDL.N0000,31.20,3.00,1007.00,31418.40,-0.40,-1.27
11:32 AM,AGALAWATTE PLANTATIONS PLC,AGAL.N0000,15.90,1.00,6.00,102.00,0.00,0.00
11:34 AM,HUNAS FALLS HOTELS PLC,HUNA.N0000,148.40,4.00,303.00,44969.00,-5.30,-3.45
11:35 AM,HNB ASSURANCE PLC,HASU.N0000,119.00,1.00,73.00,8723.50,0.00,0.00
11:35 AM,PROPERTY DEVELOPMENT PLC,PDL.N0000,144.60,3.00,642.00,92820.50,0.00,0.00
11:39 AM,EASTERN MERCHANTS PLC,EMER.N0000,4.70,6.00,2915.00,13623.50,-0.20,-4.08
11:41 AM,LEE HEDGES PLC,SHAW.N0000,80.00,4.00,507.00,40560.00,0.80,1.01
11:41 AM,THE LIGHTHOUSE HOTEL PLC,LHL.N0000,28.00,1.00,66.00,1702.80,0.00,0.00
11:41 AM,LANKEM CEYLON PLC,LCEY.N0000,27.50,5.00,3801.00,104627.00,0.20,0.73
11:43 AM,KOTMALE HOLDINGS PLC,LAMB.N0000,171.00,1.00,20.00,3794.00,0.00,0.00
11:45 AM,RENUKA CITY HOTEL PLC,RENU.N0000,197.10,3.00,100.00,19710.00,-2.90,-1.45
11:47 AM,SUNSHINE HOLDINGS PLC,SUN.N0000,45.00,1.00,2.00,85.20,0.00,0.00
11:48 AM,ON'ALLY HOLDINGS PLC,ONAL.N0000,26.00,2.00,1006.00,26156.00,-0.90,-3.35
11:51 AM,CHEMANEX PLC,CHMX.N0000,51.70,5.00,225.00,11632.00,0.70,1.37
11:54 AM,TRADE FINANCE & INVESTMENTS PLC,TFIL.N0000,40.00,1.00,1.00,47.90,0.00,0.00
12:03 PM,LANKA MILK FOODS (CWE) PLC,LMF.N0000,80.10,4.00,1435.00,114906.00,0.10,0.13
12:07 PM,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,21.90,20.00,6631.00,145394.60,-0.40,-1.79
12:09 PM,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,9.80,1.00,105.00,1029.00,0.00,0.00
12:09 PM,BROWNS BEACH HOTELS PLC,BBH.N0000,9.70,9.00,1277.00,12447.80,0.20,2.11
12:16 PM,THE AUTODROME PLC,AUTO.N0000,77.60,1.00,2.00,150.00,0.00,0.00
12:18 PM,AMAYA LEISURE  PLC,CONN.N0000,28.80,2.00,26.00,743.70,0.00,0.00
12:22 PM,TANGERINE BEACH HOTELS PLC,TANG.N0000,34.00,2.00,203.00,6902.00,0.00,0.00
12:25 PM,TRANS ASIA HOTELS PLC,TRAN.N0000,60.00,1.00,2.00,121.00,0.00,0.00
12:31 PM,HOTEL SIGIRIYA PLC,HSIG.N0000,45.00,3.00,518.00,23329.80,0.00,0.00
12:32 PM,SINGHE HOSPITALS PLC,SINH.N0000,1.60,4.00,374.00,612.40,-0.10,-5.88
12:32 PM,UNION ASSURANCE PLC,UAL.N0000,310.00,3.00,102.00,31620.00,0.00,0.00
12:34 PM,LAUGFS POWER PLC,LPL.N0000,4.10,4.00,2500.00,10250.00,0.00,0.00
12:37 PM,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,36.00,6.00,411.00,14796.80,0.60,1.69
12:37 PM,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,35.00,3.00,1000.00,35000.00,-0.80,-2.23
12:38 PM,AMANA TAKAFUL LIFE PLC,ATLL.N0000,9.20,1.00,2.00,18.40,0.00,0.00
12:40 PM,PALM GARDEN HOTELS PLC,PALM.N0000,18.70,3.00,300.00,5610.00,-0.10,-0.53
12:43 PM,SERENDIB LAND PLC,SLND.N0000,1177.00,1.00,10.00,13500.00,0.00,0.00
12:48 PM,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,13.30,5.00,28178.00,374767.40,-0.40,-2.92
12:48 PM,LAUGFS GAS PLC,LGL.N0000,15.50,13.00,29186.00,452806.90,0.00,0.00
12:51 PM,THREE ACRE FARMS PLC,TAFL.N0000,98.00,22.00,9445.00,940369.10,-1.00,-1.01
12:52 PM,UNION CHEMICALS LANKA PLC,UCAR.N0000,530.60,2.00,5.00,2525.00,0.00,0.00
12:52 PM,C M HOLDINGS PLC,COLO.N0000,65.00,12.00,6265.00,409595.00,0.00,0.00
12:57 PM,ABANS FINANCE PLC,AFSL.N0000,20.60,6.00,1101.00,22671.50,-0.90,-4.19
