Last Traded Time,Company Name,Symbol,Last Traded Price(Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
01:41 PM,NAWALOKA HOSPITALS PLC,NHL.N0000,3.40,14.00,42045.00,142952.50,0.10,3.03
01:42 PM,AMANA TAKAFUL  PLC,ATL.N0000,6.00,7.00,2287.00,13702.00,0.00,0.00
01:44 PM,CARGILLS (CEYLON) PLC,CARG.N0000,190.00,11.00,444.00,84371.70,5.00,2.70
01:46 PM,PEOPLE'S INSURANCE PLC,PINS.N0000,20.10,42.00,27146.00,544746.90,0.10,0.50
01:47 PM,KELANI TYRES PLC,TYRE.N0000,46.80,16.00,10248.00,474222.70,0.80,1.74
01:47 PM,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,13.80,4.00,706.00,9742.80,0.10,0.73
01:47 PM,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,9.80,23.00,56915.00,555806.90,0.00,0.00
01:48 PM,SAMSON INTERNATIONAL PLC,SIL.N0000,76.10,13.00,1120.00,85180.00,-0.70,-0.91
01:49 PM,PRIME FINANCE PLC,GSF.N0000,10.30,6.00,4825.00,49702.40,0.00,0.00
01:50 PM,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,57.20,11.00,2870.00,168172.50,-5.80,-9.21
01:52 PM,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,285.00,3.00,171.00,48734.10,-5.00,-1.72
01:54 PM,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,58.60,26.00,26950.00,1580562.70,-0.40,-0.68
01:54 PM,SERENDIB ENGINEERING GROUP PLC,IDL.N0000,5.60,6.00,2513.00,14075.00,-0.10,-1.75
01:54 PM,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,15.00,21.00,4308.00,64748.30,0.60,4.17
01:54 PM,RENUKA HOTELS PLC,RCH.N0000,37.70,4.00,11.00,461.90,0.00,0.00
